Date|CDS|Name|NumGraduates|NumDropouts
1112|00000000000000|Statewide|94274|15355|
1112|37000000000000|San Diego|16134|1637|
1112|37103710000000|San Diego County Office of Education|16134|1637|6401 Linda Vista Rd.|San Diego
1112|37103710115923|South Region Community|16134|1637|800 National City Blvd., Ste 110|National City
1112|37103710115931|Hope Region Community|16134|1637|808 West Cedar St.|San Diego
1112|37103710115949|Metro Region Community|16134|1637|210 West Ash St.|San Diego
1112|37103710115964|Mountain Region Court|16134|1637|957 Forrest Gate Rd.|Campo
1112|37103710115972|Mesa Region Court|16134|1637|2801 Meadow Lark Dr.|San Diego
1112|37103710115998|San Pasqual Academy|16134|1637|17701 San Pasqual Valley Rd.|Escondido
1112|37103710116012|Metro Region Court|16134|1637|210 West Ash St.|San Diego
1112|37103710116020|East Region Court|16134|1637|8374 Hercules St.|San Diego
1112|37103710116038|North Region Court|16134|1637|255 Pico Ave.|San Marcos
1112|37103710124677|East Region Community School of Greater El Cajon|16134|1637|8374 Hercules St.|La Mesa
1112|37103710124685|East Region Community School of Greater La Mesa|16134|1637|8374 Hercules St.|La Mesa
1112|37103710124693|North Region Community School of Greater Escondido|16134|1637|255 Pico Ave., Ste. 101|San Marcos
1112|37103710124701|North Region Community School of Greater Oceanside|16134|1637|255 Pico Ave., Ste. 101|San Marcos
1112|37103710124719|North Region Community School of Greater San Marcos|16134|1637|255 Pico Ave., Ste. 101|San Marcos
1112|37103710126318|Metro Central Region Community|16134|1637|210 West Ash St.|San Diego
1112|37103710126326|Metro East Region Community|16134|1637|210 West Ash St.|San Diego
1112|37103710126359|South Region Community School of National City|16134|1637|800 National City Blvd., Ste. 110|National City
1112|37103711996545|North Coastal Consortium Schools|16134|1637|255 Pico Ave.|San Marcos, CA
1112|37103716069355|San Diego County Special Education|16134|1637|6401 Linda Vista Rd., Rm. 409|San Diego
1112|36000000000000|San Bernardino|13696|1657|
1112|36103630000000|San Bernardino County Office of Education|13696|1657|601 North E St.|San Bernardino
1112|36103630107466|Community School/Independent Alternative Education|13696|1657|244South D St.|San Bernardino
1112|36103630123364|Bob Murphy County Community Day|13696|1657|149 North Arrowhead Ave.|Rialto
1112|36103630123372|High Desert Juvenile Detention and Assessment Center|13696|1657|21101 Dale Evans Pkwy.|Apple Valley
1112|36103633630431|San Bernardino County Juvenile Detention and Assessment Center|13696|1657|601 N. E St.|San Bernardino
1112|36103633630969|Desert Mountain Community Day|13696|1657|15733 First St.|Victorville
1112|36103633630977|East Valley Community Day|13696|1657|1812 West Park Ave.|Redlands
1112|36103633630985|West End Community Day|13696|1657|5033 Holt Blvd.|Montclair
1112|36103636069348|San Bernardino County Special Education|13696|1657|601 N. E St.|San Bernardino
1112|37103710115923|South Region Community|1023|174|800 National City Blvd., Ste 110|National City
1112|37103710115931|Hope Region Community|1023|174|808 West Cedar St.|San Diego
1112|37103710115949|Metro Region Community|1023|174|210 West Ash St.|San Diego
1112|37103710115964|Mountain Region Court|1023|174|957 Forrest Gate Rd.|Campo
1112|37103710115972|Mesa Region Court|1023|174|2801 Meadow Lark Dr.|San Diego
1112|37103710115998|San Pasqual Academy|1023|174|17701 San Pasqual Valley Rd.|Escondido
1112|37103710124693|North Region Community School of Greater Escondido|1023|174|255 Pico Ave., Ste. 101|San Marcos
1112|37103710124719|North Region Community School of Greater San Marcos|1023|174|255 Pico Ave., Ste. 101|San Marcos
1112|37103710126359|South Region Community School of National City|1023|174|800 National City Blvd., Ste. 110|National City
1112|37103711996545|North Coastal Consortium Schools|1023|174|255 Pico Ave.|San Marcos, CA
1112|37103716069355|San Diego County Special Education|1023|174|6401 Linda Vista Rd., Rm. 409|San Diego
1112|00000000000000|Statewide|203125|25575|
1112|10621660000000|Fresno Unified|1902|271|2309 Tulare St.|Fresno
1112|10621661030287|J. E. Young Academic Center|1902|271|822 North Abby St.|Fresno
1112|10621661030584|Cambridge Continuation High|1902|271|1001 South Chestnut|Fresno
1112|10621661031632|Dewolf Continuation High|1902|271|2445 W Dakota|Fresno
1112|00000000000000|Statewide|3381|278|
1112|00000000000000|Statewide|13658|3490|
1213|30000000000000|Orange|18178|1184|
1213|30103060000000|Orange County Department of Education|18178|1184|PO Box 9050|Costa Mesa
1213|30103063030426|Access Juvenile Hall|18178|1184|PO Box 9050|Costa Mesa
1213|30103063030632|OCCS:CHEP/PCHS|18178|1184|2910 Redhill Ave., Ste. 200|Costa Mesa
1213|30103063030764|Access County Community|18178|1184|PO Box 9050|Costa Mesa
1213|30103066069553|Orange County Special Education|18178|1184|PO Box 9050|Costa Mesa
1213|00000000000000|Statewide|96804|13434|
1213|37000000000000|San Diego|883|149|
1213|37103710000000|San Diego County Office of Education|883|149|6401 Linda Vista Rd.|San Diego
1213|37103710115931|Hope Region Community|883|149|808 West Cedar St.|San Diego
1213|37103710115964|Mountain Region Court|883|149|957 Forrest Gate Rd.|Campo
1213|37103710115972|Mesa Region Court|883|149|2801 Meadow Lark Dr.|San Diego
1213|37103710115998|San Pasqual Academy|883|149|17701 San Pasqual Valley Rd.|Escondido
1213|37103710116012|Metro Region Court|883|149|210 West Ash St.|San Diego
1213|37103710116020|East Region Court|883|149|8374 Hercules St.|San Diego
1213|37103710116038|North Region Court|883|149|255 Pico Ave.|San Marcos
1213|37103710120493|Monarch|883|149|6401 Linda Vista Rd.|San Diego
1213|37103710124677|East Region Community School of Greater El Cajon|883|149|8374 Hercules St.|La Mesa
1213|37103710124685|East Region Community School of Greater La Mesa|883|149|8374 Hercules St.|La Mesa
1213|37103710124693|North Region Community School of Greater Escondido|883|149|255 Pico Ave., Ste. 101|San Marcos
1213|37103710124701|North Region Community School of Greater Oceanside|883|149|255 Pico Ave., Ste. 101|San Marcos
1213|37103710124719|North Region Community School of Greater San Marcos|883|149|255 Pico Ave., Ste. 101|San Marcos
1213|37103710126318|Metro Central Region Community|883|149|210 West Ash St.|San Diego
1213|37103710126326|Metro East Region Community|883|149|210 West Ash St.|San Diego
1213|37103710126334|Metro South Region Community|883|149|210 West Ash St.|San Diego
1213|37103710126342|South Region Community School of Chula Vista|883|149|800 National City Blvd., Ste. 110|National City
1213|37103710126359|South Region Community School of National City|883|149|800 National City Blvd., Ste. 110|National City
1213|37103710126367|South Region Community School of San Diego|883|149|800 National City Blvd., Ste. 110|National City
1213|37103710128520|San Diego County Community|883|149|210 W Ash St|San Diego
1213|37103710128538|San Diego County Court|883|149|6401 Linda Vista Rd., Rm. 216|San Diego
1213|37103711996545|North Coastal Consortium Schools|883|149|255 Pico Ave.|San Marcos, CA
1213|37103716069355|San Diego County Special Education|883|149|6401 Linda Vista Rd., Rm. 409|San Diego
1213|37000000000000|San Diego|16076|1518|
1213|37103710000000|San Diego County Office of Education|16076|1518|6401 Linda Vista Rd.|San Diego
1213|37103710115931|Hope Region Community|16076|1518|808 West Cedar St.|San Diego
1213|37103710115964|Mountain Region Court|16076|1518|957 Forrest Gate Rd.|Campo
1213|37103710115972|Mesa Region Court|16076|1518|2801 Meadow Lark Dr.|San Diego
1213|37103710115998|San Pasqual Academy|16076|1518|17701 San Pasqual Valley Rd.|Escondido
1213|37103710116012|Metro Region Court|16076|1518|210 West Ash St.|San Diego
1213|37103710116020|East Region Court|16076|1518|8374 Hercules St.|San Diego
1213|37103710116038|North Region Court|16076|1518|255 Pico Ave.|San Marcos
1213|37103710120493|Monarch|16076|1518|6401 Linda Vista Rd.|San Diego
1213|37103710124677|East Region Community School of Greater El Cajon|16076|1518|8374 Hercules St.|La Mesa
1213|37103710124685|East Region Community School of Greater La Mesa|16076|1518|8374 Hercules St.|La Mesa
1213|37103710124693|North Region Community School of Greater Escondido|16076|1518|255 Pico Ave., Ste. 101|San Marcos
1213|37103710124701|North Region Community School of Greater Oceanside|16076|1518|255 Pico Ave., Ste. 101|San Marcos
1213|37103710124719|North Region Community School of Greater San Marcos|16076|1518|255 Pico Ave., Ste. 101|San Marcos
1213|37103710126318|Metro Central Region Community|16076|1518|210 West Ash St.|San Diego
1213|37103710126326|Metro East Region Community|16076|1518|210 West Ash St.|San Diego
1213|37103710126334|Metro South Region Community|16076|1518|210 West Ash St.|San Diego
